id,hungarianName,englishName,imageUri
0,Tacskó,Dachshund,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F0.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
1,Francia bulldog,French Bulldog,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F1.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
2,Labrador retriever,Labrador Retriever,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F2.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
3,Golden retriever,Golden retriever,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F3.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
4,Német juhászkutya,German Shepherd,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F4.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
5,Uszkár,Poodle,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F5.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
6,Cane corso,Italian Corso Dog,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F6.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
7,Border collie,Border Collie,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F7.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
8,Szibériai husky,Siberian Husky,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F8.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
9,Shiba,Shiba,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F9.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
10,Chihuahua,Chihuahua,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F10.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
11,Mopsz,Pug,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F11.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
12,Bichon Havanais,Havanese,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F12.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
13,Rottweiler,Rottweiler,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F13.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
