time,breedId,age,colors,size,feeding,hairLength,hairTexture,grooming,shedding,walking,playfulness,intelligence,kidTolerance,catTolerance,healthProblems,loudness,independence,defensiveness
1706746183000,38,1,black;white,3,3,1,1,3,3,4,5,4,5,4,4,2,4,5
1706747140000,0,0,black;brown,2,2,1,1,2,2,3,4,3,4,2,3,2,5,2
1706747282000,10,1,brown,1,1,1,1,2,2,2,4,5,1,4,3,4,5,4
1706747372000,0,1,black,2,2,1,1,2,2,4,5,5,2,3,3,5,4,5
1706747497000,15,1,brown,3,3,1,1,2,3,5,5,3,4,5,2,3,4,2
1706747538000,12,1,white,2,2,3,5,4,2,2,2,2,5,4,4,2,3,1
1706747539000,12,1,black;white;gray,1,2,4,2,5,1,2,2,4,4,3,3,2,3,3
1706747632000,19,1,white,1,2,3,2,5,2,3,4,2,4,4,2,5,2,4
1706747717000,13,0,black;brown,4,3,1,1,1,3,3,4,4,5,4,1,2,2,3
1706747743000,40,0,brown,3,4,4,3,3,5,5,5,4,4,1,3,5,1,3
1706747766000,32,1,gray,3,3,4,1,2,5,4,5,4,3,1,1,5,5,5
1706748000000,21,1,white;brown;yellow;cream,4,5,2,1,1,4,5,5,4,4,3,5,1,3,4
1706748993000,0,1,black;brown,2,4,1,2,1,2,5,5,4,4,2,1,5,4,3
1706749246000,0,2,black;brown,1,3,4,2,3,4,3,2,4,3,2,2,2,4,3
1706749316000,13,0,black;brown,5,4,2,1,2,2,3,4,4,5,3,3,1,4,4
1706749563000,2,2,yellow;cream,4,3,1,1,1,4,1,4,5,5,5,4,1,3,2
1706749996000,15,1,black;white;brown,3,3,1,1,3,3,4,4,4,5,2,2,3,2,5
1706750051000,13,2,black;red,5,2,1,1,1,2,5,5,4,5,3,2,1,4,5
1706750164000,0,1,black;red,1,2,1,1,1,1,3,3,3,3,1,1,1,5,5
1706750286000,29,0,gray,3,1,1,1,1,2,3,2,2,3,5,2,1,2,5
1706750288000,2,1,cream,4,4,3,1,3,3,5,5,5,5,3,4,4,3,5
1706750335000,10,1,black;white;brown,1,1,3,1,3,4,3,3,5,5,5,2,1,1,1
1706750381000,16,1,black,3,4,4,5,4,2,5,3,4,4,4,1,5,2,3
1706750608000,15,1,black;white;brown,5,5,2,3,3,4,5,4,4,3,2,3,5,4,3
1706750610000,4,1,gray;brown,4,3,3,1,3,4,5,5,5,5,2,2,4,2,5
1706750915000,2,2,yellow,4,3,3,1,3,5,5,5,5,4,4,2,2,5,5
1706751401000,22,1,brown,3,4,1,1,1,5,5,5,5,4,2,2,4,3,2
1706751456000,13,1,black;brown,5,4,2,1,1,1,3,4,4,5,5,1,5,4,5
1706752145000,13,1,black;yellow,4,4,2,1,3,3,4,4,5,4,3,4,3,4,5
1706752273000,22,2,brown,4,4,1,1,2,2,5,5,5,5,5,2,3,1,5
1706752424000,5,0,white;cream,2,2,3,2,4,1,3,5,4,3,3,2,3,3,4
1706752512000,22,1,red,4,4,1,1,1,2,5,5,3,2,3,3,3,4,2
1706752820000,13,0,black;brown,4,4,3,1,3,5,4,5,5,3,1,2,5,3,4
1706752900000,20,1,black;white;brown,1,2,1,1,2,3,5,5,5,5,5,1,1,2,5
1706753036000,3,2,cream,4,3,4,2,5,5,4,3,5,3,3,1,1,4,3
1706753362000,21,1,white,3,3,2,1,2,2,2,4,4,5,1,5,1,5,1
1706753470000,1,0,black;gray,2,3,1,1,4,4,5,5,3,5,1,5,1,2,1
1706753765000,14,1,white;cream,5,4,3,1,4,5,3,5,5,3,1,2,1,5,5
1706753794000,44,1,black;white;brown,2,3,3,4,3,2,5,5,5,4,2,2,3,3,3
1706753959000,10,2,white;gray,1,2,2,1,3,3,3,4,5,5,1,3,5,5,5
1706754024000,43,0,black;white;gray;brown,3,3,2,1,2,4,4,3,5,3,3,1,2,4,3
1706754156000,0,1,brown;red,3,3,1,1,2,1,3,4,3,5,5,1,2,4,5
1706754164000,39,1,black;gray,5,5,1,1,2,5,4,5,4,5,4,2,3,3,2
1706754374000,19,1,white;brown,2,3,3,2,2,1,3,3,5,5,5,2,1,3,3
1706754702000,13,1,black;red,4,4,1,1,3,3,3,5,5,4,5,2,3,3,5
1706754828000,20,1,white;brown,2,3,2,1,2,3,5,5,4,3,2,4,4,3,3
1706755055000,1,2,black;white,3,3,2,1,4,2,2,5,5,4,1,3,2,1,5
1706755388000,20,1,white;brown,5,2,3,1,2,5,3,5,4,2,1,2,4,3,5
1706755872000,20,1,black;white;brown,2,3,1,1,2,2,3,3,5,4,2,2,4,4,4
1706756648000,22,1,brown,3,3,1,1,3,4,5,5,5,5,4,2,4,2,4
1706756956000,48,1,white;brown,2,2,4,2,3,4,3,3,5,5,5,2,1,4,3
1706756982000,15,1,black;white;yellow,3,5,2,1,1,3,4,4,4,4,3,2,5,3,5
1706757326000,0,0,black;white;brown,1,1,1,1,1,3,3,5,5,5,1,1,1,5,5
1706757605000,29,0,black,3,3,1,1,1,1,4,4,4,4,5,2,1,4,5
1706757734000,29,2,red,4,4,2,1,2,2,4,2,3,4,2,3,1,5,4
1706757833000,29,2,cream,2,3,2,1,2,2,4,1,3,4,3,3,2,5,4
1706758833000,4,2,black;red,4,5,5,1,2,5,5,1,4,5,1,4,5,3,5
1706759091000,37,0,black;white,4,3,1,1,3,5,5,5,4,4,4,3,3,1,2
1706759301000,32,1,black;white;gray,5,5,5,1,5,5,5,4,5,5,1,2,1,4,3
1706759706000,43,1,red,3,4,2,1,1,2,5,5,5,5,5,3,2,2,5
1706759814000,20,1,white;brown,2,3,3,3,4,3,5,5,4,5,4,2,2,3,3
1706759909000,21,2,white,3,3,1,1,1,3,2,3,2,3,1,2,3,5,5
1706760049000,0,0,black;brown,2,2,1,1,1,1,3,4,4,5,4,3,3,4,4
1706760123000,20,1,white;brown,3,4,2,1,3,4,4,2,4,3,1,1,3,3,4
1706760236000,44,1,white;brown,3,3,2,1,3,3,5,5,5,5,1,1,3,2,5
1706760353000,12,1,white,4,3,4,1,4,1,5,5,5,3,5,2,1,2,5
1706760437000,12,1,white,2,4,3,2,4,1,2,1,2,5,5,1,1,4,5
1706760522000,12,2,white,2,2,2,1,4,1,1,5,4,5,5,3,1,2,5
1706760644000,12,1,black;white,1,1,3,2,5,1,3,5,5,5,5,1,2,4,4
1706760690000,29,1,black,4,3,3,1,1,3,3,2,3,3,1,2,3,5,4
1706760905000,4,1,black,5,3,2,1,1,4,5,5,5,3,1,4,3,3,4
1706761126000,0,2,white;brown,2,3,2,1,3,2,2,3,3,2,4,2,2,3,3
1706761339000,4,2,black;white;brown,5,4,5,1,3,4,5,5,4,5,1,4,5,4,5
1706761508000,13,1,black;brown,4,3,2,1,2,4,3,5,4,3,4,1,2,5,2
1706761525000,20,2,black;white;brown,2,2,4,3,3,5,4,4,5,3,3,4,1,4,5
1706761573000,2,2,cream,4,5,3,2,1,4,4,3,5,5,3,4,2,3,3
1706761641000,14,1,black;white;yellow,3,2,3,1,2,3,4,4,4,1,2,2,2,3,3
1706761810000,32,1,black;white,4,3,3,1,2,4,4,5,4,5,4,4,1,2,1
1706762003000,36,1,black;white;red,3,3,1,1,3,3,3,3,3,5,5,2,2,3,1
1706762109000,3,1,cream,4,4,4,4,4,5,4,5,5,5,3,2,2,5,5
1706762391000,12,1,black;white;cream,2,3,3,3,3,1,3,4,4,5,5,1,3,2,3
1706762398000,0,1,black;gray;brown,2,3,3,3,2,4,4,3,2,4,2,2,2,2,2
1706763056000,41,0,red,5,5,1,1,3,2,3,4,4,5,4,1,3,3,4
1706763368000,13,2,black;brown;yellow,4,4,4,3,1,5,3,5,5,3,1,3,4,5,5
1706763514000,41,0,brown,5,5,2,1,1,1,2,5,5,5,5,4,1,3,4
1706763714000,15,1,black;white;brown,3,2,2,1,1,4,5,5,5,5,5,1,1,1,1
1706763837000,15,0,black;white;brown,3,2,2,1,1,4,5,5,3,2,1,2,5,4,4
1706763840000,44,2,black;white;brown,3,2,3,5,5,2,5,5,5,5,1,1,3,2,5
1706763843000,46,1,black;white,5,3,5,1,5,5,2,4,5,5,5,1,1,3,5
1706763854000,36,1,black;white;brown,4,4,1,1,1,2,3,4,5,5,5,1,2,3,4
1706763925000,39,2,white;gray,5,3,1,1,1,2,1,2,5,5,2,1,3,2,5
1706764024000,15,1,black;white;brown,3,3,2,1,2,5,5,5,4,5,2,2,4,1,2
1706764060000,21,1,white,3,2,1,1,1,2,2,5,4,5,5,1,1,5,3
1706764134000,2,1,cream,5,3,4,2,5,5,5,5,5,3,1,1,5,1,5
1706764177000,16,1,black,2,2,4,5,5,1,5,5,5,4,1,2,5,3,5
1706764204000,36,1,black;white;yellow,3,4,3,1,3,4,3,4,3,5,5,2,2,3,2
1706764411000,13,1,black;red,3,3,3,1,2,2,4,4,5,5,3,2,1,1,5
1706764449000,13,0,black;red,5,4,2,1,1,1,5,5,5,5,1,1,2,5,4
1706764480000,7,0,black;white,2,2,4,1,3,3,5,5,5,2,5,1,3,5,2
1706764633000,25,0,black;gray;brown,1,2,1,1,5,1,2,2,5,5,1,1,2,3,5
1706764875000,16,0,white,3,3,4,2,5,5,5,5,5,5,5,5,4,3,5
1706764881000,13,1,black;red,5,5,1,1,1,3,5,5,5,5,5,3,1,3,1
1706764995000,3,1,cream,5,5,3,1,2,2,3,5,5,5,5,3,3,3,4
1706764999000,41,1,brown,5,4,2,1,2,3,3,4,3,5,3,3,3,3,4
1706765089000,13,1,black;brown,4,4,3,1,3,3,5,5,5,4,3,4,2,3,5
1706765161000,21,2,brown;yellow,2,5,1,1,1,3,2,5,3,5,3,3,2,5,2
1706765162000,12,1,white,1,1,2,1,2,1,2,3,1,3,2,2,1,3,2
1706765262000,43,1,black;red,3,4,1,1,1,3,5,5,5,1,2,2,1,4,3
1706765266000,26,0,black;white;brown,3,5,5,2,1,5,5,5,5,5,5,1,1,3,3
1706765312000,36,2,black;white;brown,4,3,3,1,3,4,5,4,2,3,5,4,5,3,2
1706765363000,43,2,black;white;red,4,3,2,1,1,4,4,4,5,1,2,2,1,5,5
1706765445000,2,2,black,3,2,1,1,1,5,2,1,5,5,2,1,1,5,1
1706765467000,26,0,black;white;yellow,4,3,5,3,3,5,4,3,5,5,4,1,1,4,4
1706765491000,26,0,black;white;yellow,3,4,3,1,4,3,5,5,5,5,3,1,1,4,2
1706765907000,13,1,black;brown;yellow,4,5,2,2,1,4,5,5,4,4,4,2,2,2,3
1706765929000,26,1,black;white;gray;brown,3,3,4,2,4,5,3,3,4,4,4,4,4,5,3
1706765973000,20,2,brown,3,4,2,1,3,3,4,3,5,3,2,2,2,3,4
1706766054000,4,1,yellow,5,3,4,1,4,4,5,5,5,5,1,2,3,3,5
1706766081000,16,1,black,3,3,5,5,2,1,3,4,5,5,5,2,3,5,5
1706766106000,13,2,black;yellow,4,4,2,1,2,5,5,5,5,4,3,4,1,2,5
1706766109000,15,1,black;white;brown,4,5,3,1,2,4,5,4,5,5,4,2,2,2,4
1706766122000,39,1,black,5,2,1,1,2,3,2,2,3,5,5,2,4,3,5
1706766242000,0,1,black;brown,2,3,1,1,1,2,4,4,5,5,1,1,4,4,5
1706766283000,0,1,black;white,1,2,1,1,1,1,2,1,3,5,5,1,3,3,2
1706766335000,13,1,black;red,5,5,1,1,1,1,5,5,5,5,1,1,3,3,5
1706766369000,45,1,black;brown,3,3,3,1,3,3,5,5,5,5,5,1,3,5,5
1706766379000,36,2,black;white;brown,3,4,2,1,3,2,3,2,4,5,4,2,3,2,5
1706766391000,21,0,white;brown;red,3,3,1,1,1,2,4,5,5,4,3,3,5,3,3
1706766422000,36,0,black;white;brown,3,3,3,1,2,2,3,3,3,4,1,3,3,2,5
1706766453000,7,0,black;white,3,3,5,1,4,5,5,5,4,5,3,2,3,3,1
1706766490000,16,0,black,4,3,5,5,2,1,5,5,5,4,2,1,5,4,4
1706766509000,46,1,black,5,3,4,2,5,5,3,3,5,5,2,2,1,5,5
1706766519000,13,0,black;red,4,4,3,1,1,1,4,4,5,5,1,1,1,3,3
1706766720000,32,1,gray,3,3,3,2,3,4,3,5,3,3,3,3,1,4,3
1706766785000,46,1,black;white,5,5,5,1,5,5,2,5,5,5,5,2,1,5,3
1706766809000,20,1,white;brown,2,3,1,1,1,2,4,4,3,3,2,2,4,3,3
1706766820000,45,2,black;white,1,4,1,1,1,1,3,5,3,5,5,2,2,3,2
1706766821000,0,0,brown,1,2,1,1,1,1,5,5,3,3,3,1,2,5,3
1706766840000,0,1,black;brown,2,3,5,5,4,4,5,5,4,5,5,2,3,4,5
1706766852000,20,0,black;white;brown,3,1,1,1,1,4,5,4,5,4,4,2,4,4,5
1706766945000,38,2,white;yellow,4,3,1,1,2,3,2,1,5,5,3,2,1,3,5
1706767054000,46,1,black,4,4,4,2,4,4,2,2,5,5,5,1,1,2,3
1706767057000,16,0,white,5,5,3,1,3,1,3,4,5,4,4,1,2,5,5
