"Időbélyeg"," Mi a kutyája fajtája?","Milyen idős a kutyája?","Milyen színekből áll a kutyája szőre?","Mekkora a kutyája? ","Mekkora a kutyája eledeligénye?","Milyen hosszú a kutyája szőre?","Mennyire göndör a kutyája szőre?","Mennyi ápolást igényel a kutyája?","Milyen gyakran kell a kutyája után a levedlett szőrt eltakarítania?","Mennyi mozgást igényel a kutyája?","Mennyire játékos a kutyája?","Mennyire tanulékony a kutyája? ","Tapasztalatai alapján mennyire alkalmas ez a kutyafajta kisgyermekes családok számára?","Tapasztalatai alapján mennyire alkalmas ez a kutyafajta macskával is rendelkező családok számára?","Milyen gyakran volt egészségügyi problémája a kutyájának?","Mennyire szokott hangos lenni a kutyája?","Mennyire tűri jól a kutyája az egyedüllétet?","Mennyire jellemző a kutyájára, hogy amikor veszélyt érez, megpróbálja megvédeni önt?"
"2024/02/01 1:03:05 de. EET","Boxer","Középkorú","fekete;fehér;sárgásbarna","4","4","1","1","2","4","5","5","5","4","3","4","1","2","5"
"2024/02/01 1:09:43 de. EET","Amerikai staffordshire terrier","Középkorú","fekete;fehér","3","3","1","1","3","3","4","5","4","5","4","4","2","4","5"
"2024/02/01 1:25:40 de. EET","Tacskó","Kölyök","fekete;barna","2","2","1","1","2","2","3","4","3","4","2","3","2","5","2"
"2024/02/01 1:28:02 de. EET","Csivava","Középkorú","barna","1","1","1","1","2","2","2","4","5","1","4","3","4","5","4"
"2024/02/01 1:29:32 de. EET","Tacskó","Középkorú","fekete","2","2","1","1","2","2","4","5","5","2","3","3","5","4","5"
"2024/02/01 1:31:37 de. EET","Beagle","Középkorú","barna","3","3","1","1","2","3","5","5","3","4","5","2","3","4","2"
"2024/02/01 1:32:18 de. EET","Bichon","Középkorú","fehér","2","2","3","5","4","2","2","2","2","5","4","4","2","3","1"
"2024/02/01 1:32:19 de. EET","Bichon","Középkorú","fekete;fehér;szürke","1","2","4","2","5","1","2","2","4","4","3","3","2","3","3"
"2024/02/01 1:33:52 de. EET","Máltai selyemkutya","Középkorú","fehér","1","2","3","2","5","2","3","4","2","4","4","2","5","2","4"
"2024/02/01 1:35:17 de. EET","Rottweiler","Kölyök","fekete;barna","4","3","1","1","1","3","3","4","4","5","4","1","2","2","3"
"2024/02/01 1:35:43 de. EET","Cocker spániel","Kölyök","barna","3","4","4","3","3","5","5","5","4","4","1","3","5","1","3"
"2024/02/01 1:36:06 de. EET","Alaszkai malamut","Középkorú","szürke","3","3","4","1","2","5","4","5","4","3","1","1","5","5","5"
"2024/02/01 1:37:39 de. EET","Keverék","Kölyök","fekete;fehér;barna","4","3","3","3","2","5","5","3","4","5","3","1","4","3","3"
"2024/02/01 1:40:00 de. EET","Bullterrier","Középkorú","fehér;barna;sárgásbarna;krémszínű","4","5","2","1","1","4","5","5","4","4","3","5","1","3","4"
"2024/02/01 1:41:08 de. EET","Keverék","Idős","sárgásbarna","3","2","3","4","4","4","3","3","4","3","5","4","5","1","3"
"2024/02/01 1:49:05 de. EET","Keverék","Kölyök","fekete;fehér;sárgásbarna","3","3","3","2","3","2","4","5","2","3","5","1","3","2","3"
"2024/02/01 1:56:33 de. EET","Tacskó","Középkorú","fekete;barna","2","4","1","2","1","2","5","5","4","4","2","1","5","4","3"
"2024/02/01 2:00:46 de. EET","Tacskó","Idős","fekete;barna","1","3","4","2","3","4","3","2","4","3","2","2","2","4","3"
"2024/02/01 2:01:56 de. EET","Rottweiler","Kölyök","fekete;barna","5","4","2","1","2","2","3","4","4","5","3","3","1","4","4"
